number_series,answer,obfuscation
"384, 377, 356, 321, ?, 209",272,"384, 377, eccbc87e4b5ce2fe28308fd9f2a7baf3 e4da3b7fbbce2345d7772b0674a318d5 1679091c5a880faf6fb5e6087eb1b2dc, eccbc87e4b5ce2fe28308fd9f2a7baf3 c81e728d9d4c2f636f067f89cc14862c c4ca4238a0b923820dcc509a6f75849b, ?, c81e728d9d4c2f636f067f89cc14862c cfcd208495d565ef66e7dff9f98764da 45c48cce2e2d7fbdea1afc51c7c6ad26"
"5, 9, 16, 32, 75, ?",199,"e4da3b7fbbce2345d7772b0674a318d5, 9, 16, eccbc87e4b5ce2fe28308fd9f2a7baf3 c81e728d9d4c2f636f067f89cc14862c, 8f14e45fceea167a5a36dedd4bea2543 e4da3b7fbbce2345d7772b0674a318d5, ?"
"3, 16, 45, 96, 175, ?",288,"eccbc87e4b5ce2fe28308fd9f2a7baf3, c4ca4238a0b923820dcc509a6f75849b 1679091c5a880faf6fb5e6087eb1b2dc, 45, 96, c4ca4238a0b923820dcc509a6f75849b 8f14e45fceea167a5a36dedd4bea2543 e4da3b7fbbce2345d7772b0674a318d5, ?"
"3, 11, 29, 67, 145, ?",303,"eccbc87e4b5ce2fe28308fd9f2a7baf3, c4ca4238a0b923820dcc509a6f75849b c4ca4238a0b923820dcc509a6f75849b, c81e728d9d4c2f636f067f89cc14862c 45c48cce2e2d7fbdea1afc51c7c6ad26, 67, 145, ?"
"2, 12, 36, 80, 150, 252, ?",392,"c81e728d9d4c2f636f067f89cc14862c, c4ca4238a0b923820dcc509a6f75849b c81e728d9d4c2f636f067f89cc14862c, 36, 80, c4ca4238a0b923820dcc509a6f75849b e4da3b7fbbce2345d7772b0674a318d5 cfcd208495d565ef66e7dff9f98764da, 252, ?"
"1, 5, 19, 81, 411, ?",2884,"c4ca4238a0b923820dcc509a6f75849b, e4da3b7fbbce2345d7772b0674a318d5, 19, 81, a87ff679a2f3e71d9181a67b7542122c c4ca4238a0b923820dcc509a6f75849b c4ca4238a0b923820dcc509a6f75849b, ?"
"9, 20, 36, 78, 148, 306, ?",600,"45c48cce2e2d7fbdea1afc51c7c6ad26, 20, eccbc87e4b5ce2fe28308fd9f2a7baf3 1679091c5a880faf6fb5e6087eb1b2dc, 78, 148, eccbc87e4b5ce2fe28308fd9f2a7baf3 cfcd208495d565ef66e7dff9f98764da 1679091c5a880faf6fb5e6087eb1b2dc, ?"
"17, 33, 64, 124, 240, 464, ?",896,"17, eccbc87e4b5ce2fe28308fd9f2a7baf3 eccbc87e4b5ce2fe28308fd9f2a7baf3, 1679091c5a880faf6fb5e6087eb1b2dc a87ff679a2f3e71d9181a67b7542122c, 124, c81e728d9d4c2f636f067f89cc14862c a87ff679a2f3e71d9181a67b7542122c cfcd208495d565ef66e7dff9f98764da, 464, ?"
"15, 19, 83, 119, 631, ?",731,"15, c4ca4238a0b923820dcc509a6f75849b 45c48cce2e2d7fbdea1afc51c7c6ad26, c9f0f895fb98ab9159f51fd0297e236d eccbc87e4b5ce2fe28308fd9f2a7baf3, c4ca4238a0b923820dcc509a6f75849b c4ca4238a0b923820dcc509a6f75849b 45c48cce2e2d7fbdea1afc51c7c6ad26, 631, ?"
"15, 22, 40, 75, 133, ?",220,"c4ca4238a0b923820dcc509a6f75849b e4da3b7fbbce2345d7772b0674a318d5, c81e728d9d4c2f636f067f89cc14862c c81e728d9d4c2f636f067f89cc14862c, 40, 8f14e45fceea167a5a36dedd4bea2543 e4da3b7fbbce2345d7772b0674a318d5, 133, ?"
"24, 31, 52, 87, 136, ?",199,"c81e728d9d4c2f636f067f89cc14862c a87ff679a2f3e71d9181a67b7542122c, 31, 52, c9f0f895fb98ab9159f51fd0297e236d 8f14e45fceea167a5a36dedd4bea2543, c4ca4238a0b923820dcc509a6f75849b eccbc87e4b5ce2fe28308fd9f2a7baf3 1679091c5a880faf6fb5e6087eb1b2dc, ?"
"15, 8, 9, ?, 32, 82.5, 250.5",15,"c4ca4238a0b923820dcc509a6f75849b e4da3b7fbbce2345d7772b0674a318d5, c9f0f895fb98ab9159f51fd0297e236d, 9, ?, eccbc87e4b5ce2fe28308fd9f2a7baf3 c81e728d9d4c2f636f067f89cc14862c, 82.5, 250.5"
"1, 9, 61, 497, 4981, ?",59785,"1, 45c48cce2e2d7fbdea1afc51c7c6ad26, 1679091c5a880faf6fb5e6087eb1b2dc c4ca4238a0b923820dcc509a6f75849b, a87ff679a2f3e71d9181a67b7542122c 45c48cce2e2d7fbdea1afc51c7c6ad26 8f14e45fceea167a5a36dedd4bea2543, 4981, ?"
"2, 5, 23, 119, ?, 4079",659,"c81e728d9d4c2f636f067f89cc14862c, 5, c81e728d9d4c2f636f067f89cc14862c eccbc87e4b5ce2fe28308fd9f2a7baf3, c4ca4238a0b923820dcc509a6f75849b c4ca4238a0b923820dcc509a6f75849b 45c48cce2e2d7fbdea1afc51c7c6ad26, ?, 4079"
"3, 4, 14, 73, 515, ?",4640,"eccbc87e4b5ce2fe28308fd9f2a7baf3, a87ff679a2f3e71d9181a67b7542122c, 14, 73, e4da3b7fbbce2345d7772b0674a318d5 c4ca4238a0b923820dcc509a6f75849b e4da3b7fbbce2345d7772b0674a318d5, ?"
"7, 16, 30, 62, 122, ?",246,"8f14e45fceea167a5a36dedd4bea2543, 16, eccbc87e4b5ce2fe28308fd9f2a7baf3 cfcd208495d565ef66e7dff9f98764da, 1679091c5a880faf6fb5e6087eb1b2dc c81e728d9d4c2f636f067f89cc14862c, 122, ?"
"11043, 11056, 11045, 11054, 11047, ?",11052,"11043, c4ca4238a0b923820dcc509a6f75849b c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da e4da3b7fbbce2345d7772b0674a318d5 1679091c5a880faf6fb5e6087eb1b2dc, c4ca4238a0b923820dcc509a6f75849b c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da a87ff679a2f3e71d9181a67b7542122c e4da3b7fbbce2345d7772b0674a318d5, 11054, c4ca4238a0b923820dcc509a6f75849b c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da a87ff679a2f3e71d9181a67b7542122c 8f14e45fceea167a5a36dedd4bea2543, ?"
"256, 128, 192, 480, ?, 7560",1680,"256, c4ca4238a0b923820dcc509a6f75849b c81e728d9d4c2f636f067f89cc14862c c9f0f895fb98ab9159f51fd0297e236d, 192, a87ff679a2f3e71d9181a67b7542122c c9f0f895fb98ab9159f51fd0297e236d cfcd208495d565ef66e7dff9f98764da, ?, 8f14e45fceea167a5a36dedd4bea2543 e4da3b7fbbce2345d7772b0674a318d5 1679091c5a880faf6fb5e6087eb1b2dc cfcd208495d565ef66e7dff9f98764da"
"47, 48, 51, 60, 87, ?",168,"47, a87ff679a2f3e71d9181a67b7542122c c9f0f895fb98ab9159f51fd0297e236d, e4da3b7fbbce2345d7772b0674a318d5 c4ca4238a0b923820dcc509a6f75849b, 60, c9f0f895fb98ab9159f51fd0297e236d 8f14e45fceea167a5a36dedd4bea2543, ?"
"147, 148, 150, 159, 223, ?",848,"c4ca4238a0b923820dcc509a6f75849b a87ff679a2f3e71d9181a67b7542122c 8f14e45fceea167a5a36dedd4bea2543, c4ca4238a0b923820dcc509a6f75849b a87ff679a2f3e71d9181a67b7542122c c9f0f895fb98ab9159f51fd0297e236d, 150, 159, c81e728d9d4c2f636f067f89cc14862c c81e728d9d4c2f636f067f89cc14862c eccbc87e4b5ce2fe28308fd9f2a7baf3, ?"
"145, 158, 119, 184, 93, ?",210,"c4ca4238a0b923820dcc509a6f75849b a87ff679a2f3e71d9181a67b7542122c e4da3b7fbbce2345d7772b0674a318d5, 158, 119, c4ca4238a0b923820dcc509a6f75849b c9f0f895fb98ab9159f51fd0297e236d a87ff679a2f3e71d9181a67b7542122c, 45c48cce2e2d7fbdea1afc51c7c6ad26 eccbc87e4b5ce2fe28308fd9f2a7baf3, ?"
"143, 151, 158, 172, 182, ?",193,"c4ca4238a0b923820dcc509a6f75849b a87ff679a2f3e71d9181a67b7542122c eccbc87e4b5ce2fe28308fd9f2a7baf3, 151, 158, c4ca4238a0b923820dcc509a6f75849b 8f14e45fceea167a5a36dedd4bea2543 c81e728d9d4c2f636f067f89cc14862c, c4ca4238a0b923820dcc509a6f75849b c9f0f895fb98ab9159f51fd0297e236d c81e728d9d4c2f636f067f89cc14862c, ?"
"47, 78, 115, 164, 231, ?",322,"47, 8f14e45fceea167a5a36dedd4bea2543 c9f0f895fb98ab9159f51fd0297e236d, 115, c4ca4238a0b923820dcc509a6f75849b 1679091c5a880faf6fb5e6087eb1b2dc a87ff679a2f3e71d9181a67b7542122c, c81e728d9d4c2f636f067f89cc14862c eccbc87e4b5ce2fe28308fd9f2a7baf3 c4ca4238a0b923820dcc509a6f75849b, ?"
"19, 61, 31, 47, ?, 19",55,"c4ca4238a0b923820dcc509a6f75849b 45c48cce2e2d7fbdea1afc51c7c6ad26, 61, 31, a87ff679a2f3e71d9181a67b7542122c 8f14e45fceea167a5a36dedd4bea2543, ?, c4ca4238a0b923820dcc509a6f75849b 45c48cce2e2d7fbdea1afc51c7c6ad26"
"21, ?, 52, 80, 119, 171",33,"c81e728d9d4c2f636f067f89cc14862c c4ca4238a0b923820dcc509a6f75849b, ?, 52, 80, c4ca4238a0b923820dcc509a6f75849b c4ca4238a0b923820dcc509a6f75849b 45c48cce2e2d7fbdea1afc51c7c6ad26, c4ca4238a0b923820dcc509a6f75849b 8f14e45fceea167a5a36dedd4bea2543 c4ca4238a0b923820dcc509a6f75849b"
"768, 576, 432, 324, ?, 182.25",243,"8f14e45fceea167a5a36dedd4bea2543 1679091c5a880faf6fb5e6087eb1b2dc c9f0f895fb98ab9159f51fd0297e236d, e4da3b7fbbce2345d7772b0674a318d5 8f14e45fceea167a5a36dedd4bea2543 1679091c5a880faf6fb5e6087eb1b2dc, 432, eccbc87e4b5ce2fe28308fd9f2a7baf3 c81e728d9d4c2f636f067f89cc14862c a87ff679a2f3e71d9181a67b7542122c, ?, 182.25"
"524, 260, 128, 62, ?, 12.5",29,"524, c81e728d9d4c2f636f067f89cc14862c 1679091c5a880faf6fb5e6087eb1b2dc cfcd208495d565ef66e7dff9f98764da, c4ca4238a0b923820dcc509a6f75849b c81e728d9d4c2f636f067f89cc14862c c9f0f895fb98ab9159f51fd0297e236d, 1679091c5a880faf6fb5e6087eb1b2dc c81e728d9d4c2f636f067f89cc14862c, ?, 12.5"
"4, 4, 11, 37, 100, ?",224,"a87ff679a2f3e71d9181a67b7542122c, 4, 11, eccbc87e4b5ce2fe28308fd9f2a7baf3 8f14e45fceea167a5a36dedd4bea2543, c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da cfcd208495d565ef66e7dff9f98764da, ?"
"4, 20, 51, 105, ?, 314",190,"a87ff679a2f3e71d9181a67b7542122c, c81e728d9d4c2f636f067f89cc14862c cfcd208495d565ef66e7dff9f98764da, e4da3b7fbbce2345d7772b0674a318d5 c4ca4238a0b923820dcc509a6f75849b, 105, ?, 314"
"67, ?, 84.5, 97, 112, 129.5, 149.5",77,"1679091c5a880faf6fb5e6087eb1b2dc 8f14e45fceea167a5a36dedd4bea2543, ?, 84.5, 45c48cce2e2d7fbdea1afc51c7c6ad26 8f14e45fceea167a5a36dedd4bea2543, c4ca4238a0b923820dcc509a6f75849b c4ca4238a0b923820dcc509a6f75849b c81e728d9d4c2f636f067f89cc14862c, 129.5, 149.5"
"3, 10, ?, 225, 1591, 14334",42,"eccbc87e4b5ce2fe28308fd9f2a7baf3, 10, ?, c81e728d9d4c2f636f067f89cc14862c c81e728d9d4c2f636f067f89cc14862c e4da3b7fbbce2345d7772b0674a318d5, 1591, c4ca4238a0b923820dcc509a6f75849b a87ff679a2f3e71d9181a67b7542122c eccbc87e4b5ce2fe28308fd9f2a7baf3 eccbc87e4b5ce2fe28308fd9f2a7baf3 a87ff679a2f3e71d9181a67b7542122c"
"2, 7, 63, 420, ?, 20741",2968,"c81e728d9d4c2f636f067f89cc14862c, 7, 1679091c5a880faf6fb5e6087eb1b2dc eccbc87e4b5ce2fe28308fd9f2a7baf3, a87ff679a2f3e71d9181a67b7542122c c81e728d9d4c2f636f067f89cc14862c cfcd208495d565ef66e7dff9f98764da, ?, 20741"
"462, 552, 650, 756, 870, 992, ?",1122,"462, e4da3b7fbbce2345d7772b0674a318d5 e4da3b7fbbce2345d7772b0674a318d5 c81e728d9d4c2f636f067f89cc14862c, 650, 8f14e45fceea167a5a36dedd4bea2543 e4da3b7fbbce2345d7772b0674a318d5 1679091c5a880faf6fb5e6087eb1b2dc, c9f0f895fb98ab9159f51fd0297e236d 8f14e45fceea167a5a36dedd4bea2543 cfcd208495d565ef66e7dff9f98764da, 992, ?"
"17, 23, 83, 293, 797, ?",1787,"c4ca4238a0b923820dcc509a6f75849b 8f14e45fceea167a5a36dedd4bea2543, 23, 83, c81e728d9d4c2f636f067f89cc14862c 45c48cce2e2d7fbdea1afc51c7c6ad26 eccbc87e4b5ce2fe28308fd9f2a7baf3, 8f14e45fceea167a5a36dedd4bea2543 45c48cce2e2d7fbdea1afc51c7c6ad26 8f14e45fceea167a5a36dedd4bea2543, ?"
"18, 23, 42, 83, 154, ?",265,"c4ca4238a0b923820dcc509a6f75849b c9f0f895fb98ab9159f51fd0297e236d, 23, a87ff679a2f3e71d9181a67b7542122c c81e728d9d4c2f636f067f89cc14862c, c9f0f895fb98ab9159f51fd0297e236d eccbc87e4b5ce2fe28308fd9f2a7baf3, c4ca4238a0b923820dcc509a6f75849b e4da3b7fbbce2345d7772b0674a318d5 a87ff679a2f3e71d9181a67b7542122c, ?"
"12, 5, 9, 13, 17, ?",21,"c4ca4238a0b923820dcc509a6f75849b c81e728d9d4c2f636f067f89cc14862c, 5, 45c48cce2e2d7fbdea1afc51c7c6ad26, c4ca4238a0b923820dcc509a6f75849b eccbc87e4b5ce2fe28308fd9f2a7baf3, c4ca4238a0b923820dcc509a6f75849b 8f14e45fceea167a5a36dedd4bea2543, ?"
"46, 57, 70, 81, ?, 105",94,"a87ff679a2f3e71d9181a67b7542122c 1679091c5a880faf6fb5e6087eb1b2dc, 57, 8f14e45fceea167a5a36dedd4bea2543 cfcd208495d565ef66e7dff9f98764da, c9f0f895fb98ab9159f51fd0297e236d c4ca4238a0b923820dcc509a6f75849b, ?, c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da e4da3b7fbbce2345d7772b0674a318d5"
"16, 16, 33, 50, 67, ?",84,"c4ca4238a0b923820dcc509a6f75849b 1679091c5a880faf6fb5e6087eb1b2dc, c4ca4238a0b923820dcc509a6f75849b 1679091c5a880faf6fb5e6087eb1b2dc, eccbc87e4b5ce2fe28308fd9f2a7baf3 eccbc87e4b5ce2fe28308fd9f2a7baf3, e4da3b7fbbce2345d7772b0674a318d5 cfcd208495d565ef66e7dff9f98764da, 67, ?"
"105, 118, 111.5, 124.5, 118, ?",131,"c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da e4da3b7fbbce2345d7772b0674a318d5, c4ca4238a0b923820dcc509a6f75849b c4ca4238a0b923820dcc509a6f75849b c9f0f895fb98ab9159f51fd0297e236d, 111.5, 124.5, c4ca4238a0b923820dcc509a6f75849b c4ca4238a0b923820dcc509a6f75849b c9f0f895fb98ab9159f51fd0297e236d, ?"
"5, 3, 6, 9, ?, 15",12,"5, eccbc87e4b5ce2fe28308fd9f2a7baf3, 1679091c5a880faf6fb5e6087eb1b2dc, 45c48cce2e2d7fbdea1afc51c7c6ad26, ?, c4ca4238a0b923820dcc509a6f75849b e4da3b7fbbce2345d7772b0674a318d5"
"89, 91, 94, 99, ?, 117",106,"89, 45c48cce2e2d7fbdea1afc51c7c6ad26 c4ca4238a0b923820dcc509a6f75849b, 45c48cce2e2d7fbdea1afc51c7c6ad26 a87ff679a2f3e71d9181a67b7542122c, 45c48cce2e2d7fbdea1afc51c7c6ad26 45c48cce2e2d7fbdea1afc51c7c6ad26, ?, c4ca4238a0b923820dcc509a6f75849b c4ca4238a0b923820dcc509a6f75849b 8f14e45fceea167a5a36dedd4bea2543"
"970, 849, 768, 719, 694, ?",675,"45c48cce2e2d7fbdea1afc51c7c6ad26 8f14e45fceea167a5a36dedd4bea2543 cfcd208495d565ef66e7dff9f98764da, c9f0f895fb98ab9159f51fd0297e236d a87ff679a2f3e71d9181a67b7542122c 45c48cce2e2d7fbdea1afc51c7c6ad26, 768, 8f14e45fceea167a5a36dedd4bea2543 c4ca4238a0b923820dcc509a6f75849b 45c48cce2e2d7fbdea1afc51c7c6ad26, 1679091c5a880faf6fb5e6087eb1b2dc 45c48cce2e2d7fbdea1afc51c7c6ad26 a87ff679a2f3e71d9181a67b7542122c, ?"
"40, 59, 97, 173, 325, ?",539,"a87ff679a2f3e71d9181a67b7542122c cfcd208495d565ef66e7dff9f98764da, e4da3b7fbbce2345d7772b0674a318d5 45c48cce2e2d7fbdea1afc51c7c6ad26, 45c48cce2e2d7fbdea1afc51c7c6ad26 8f14e45fceea167a5a36dedd4bea2543, c4ca4238a0b923820dcc509a6f75849b 8f14e45fceea167a5a36dedd4bea2543 eccbc87e4b5ce2fe28308fd9f2a7baf3, 325, ?"
"452, 790, 1466, 2818, 5522, ?",10930,"a87ff679a2f3e71d9181a67b7542122c e4da3b7fbbce2345d7772b0674a318d5 c81e728d9d4c2f636f067f89cc14862c, 8f14e45fceea167a5a36dedd4bea2543 45c48cce2e2d7fbdea1afc51c7c6ad26 cfcd208495d565ef66e7dff9f98764da, c4ca4238a0b923820dcc509a6f75849b a87ff679a2f3e71d9181a67b7542122c 1679091c5a880faf6fb5e6087eb1b2dc 1679091c5a880faf6fb5e6087eb1b2dc, c81e728d9d4c2f636f067f89cc14862c c9f0f895fb98ab9159f51fd0297e236d c4ca4238a0b923820dcc509a6f75849b c9f0f895fb98ab9159f51fd0297e236d, 5522, ?"
"10000, 2000, 400, 80, 16, ?",2.5,"c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da cfcd208495d565ef66e7dff9f98764da cfcd208495d565ef66e7dff9f98764da cfcd208495d565ef66e7dff9f98764da, c81e728d9d4c2f636f067f89cc14862c cfcd208495d565ef66e7dff9f98764da cfcd208495d565ef66e7dff9f98764da cfcd208495d565ef66e7dff9f98764da, a87ff679a2f3e71d9181a67b7542122c cfcd208495d565ef66e7dff9f98764da cfcd208495d565ef66e7dff9f98764da, 80, c4ca4238a0b923820dcc509a6f75849b 1679091c5a880faf6fb5e6087eb1b2dc, ?"
"2, 10, 42, 170, 682, ?",3030,"c81e728d9d4c2f636f067f89cc14862c, 10, a87ff679a2f3e71d9181a67b7542122c c81e728d9d4c2f636f067f89cc14862c, c4ca4238a0b923820dcc509a6f75849b 8f14e45fceea167a5a36dedd4bea2543 cfcd208495d565ef66e7dff9f98764da, 1679091c5a880faf6fb5e6087eb1b2dc c9f0f895fb98ab9159f51fd0297e236d c81e728d9d4c2f636f067f89cc14862c, ?"
"200, 220, 484, 1597.2, 7027.68, ?",40552.24,"c81e728d9d4c2f636f067f89cc14862c cfcd208495d565ef66e7dff9f98764da cfcd208495d565ef66e7dff9f98764da, c81e728d9d4c2f636f067f89cc14862c c81e728d9d4c2f636f067f89cc14862c cfcd208495d565ef66e7dff9f98764da, a87ff679a2f3e71d9181a67b7542122c c9f0f895fb98ab9159f51fd0297e236d a87ff679a2f3e71d9181a67b7542122c, 1597.2, 7027.68, ?"
"10, 11, 26, 87, 364, ?",1845,"c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da, 11, c81e728d9d4c2f636f067f89cc14862c 1679091c5a880faf6fb5e6087eb1b2dc, c9f0f895fb98ab9159f51fd0297e236d 8f14e45fceea167a5a36dedd4bea2543, eccbc87e4b5ce2fe28308fd9f2a7baf3 1679091c5a880faf6fb5e6087eb1b2dc a87ff679a2f3e71d9181a67b7542122c, ?"
"2, 3, 10, 39, 172, ?",885,"c81e728d9d4c2f636f067f89cc14862c, eccbc87e4b5ce2fe28308fd9f2a7baf3, c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da, eccbc87e4b5ce2fe28308fd9f2a7baf3 45c48cce2e2d7fbdea1afc51c7c6ad26, 172, ?"
"4, 2, 3, 7.5, 26.25, ?",118.125,"a87ff679a2f3e71d9181a67b7542122c, c81e728d9d4c2f636f067f89cc14862c, eccbc87e4b5ce2fe28308fd9f2a7baf3, 7.5, 26.25, ?"
"15, 16, 20, 29, 45, 70, 106, ?",148,"15, c4ca4238a0b923820dcc509a6f75849b 1679091c5a880faf6fb5e6087eb1b2dc, c81e728d9d4c2f636f067f89cc14862c cfcd208495d565ef66e7dff9f98764da, 29, a87ff679a2f3e71d9181a67b7542122c e4da3b7fbbce2345d7772b0674a318d5, 8f14e45fceea167a5a36dedd4bea2543 cfcd208495d565ef66e7dff9f98764da, 106, ?"
"842, ?, 2402, 3480, 4762",1000,"c9f0f895fb98ab9159f51fd0297e236d a87ff679a2f3e71d9181a67b7542122c c81e728d9d4c2f636f067f89cc14862c, ?, c81e728d9d4c2f636f067f89cc14862c a87ff679a2f3e71d9181a67b7542122c cfcd208495d565ef66e7dff9f98764da c81e728d9d4c2f636f067f89cc14862c, eccbc87e4b5ce2fe28308fd9f2a7baf3 a87ff679a2f3e71d9181a67b7542122c c9f0f895fb98ab9159f51fd0297e236d cfcd208495d565ef66e7dff9f98764da, a87ff679a2f3e71d9181a67b7542122c 8f14e45fceea167a5a36dedd4bea2543 1679091c5a880faf6fb5e6087eb1b2dc c81e728d9d4c2f636f067f89cc14862c"
"1, 9, 36, 100, 225, ?",441,"1, 45c48cce2e2d7fbdea1afc51c7c6ad26, eccbc87e4b5ce2fe28308fd9f2a7baf3 1679091c5a880faf6fb5e6087eb1b2dc, c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da cfcd208495d565ef66e7dff9f98764da, c81e728d9d4c2f636f067f89cc14862c c81e728d9d4c2f636f067f89cc14862c e4da3b7fbbce2345d7772b0674a318d5, ?"
"43, 41, 44, 39, 46, ?",37,"43, a87ff679a2f3e71d9181a67b7542122c c4ca4238a0b923820dcc509a6f75849b, a87ff679a2f3e71d9181a67b7542122c a87ff679a2f3e71d9181a67b7542122c, eccbc87e4b5ce2fe28308fd9f2a7baf3 45c48cce2e2d7fbdea1afc51c7c6ad26, a87ff679a2f3e71d9181a67b7542122c 1679091c5a880faf6fb5e6087eb1b2dc, ?"
"0, 4, 12, 76, ?",2766,"cfcd208495d565ef66e7dff9f98764da, a87ff679a2f3e71d9181a67b7542122c, c4ca4238a0b923820dcc509a6f75849b c81e728d9d4c2f636f067f89cc14862c, 8f14e45fceea167a5a36dedd4bea2543 1679091c5a880faf6fb5e6087eb1b2dc, ?"
"14, 27, 53, 105, 209, ?",417,"c4ca4238a0b923820dcc509a6f75849b a87ff679a2f3e71d9181a67b7542122c, c81e728d9d4c2f636f067f89cc14862c 8f14e45fceea167a5a36dedd4bea2543, e4da3b7fbbce2345d7772b0674a318d5 eccbc87e4b5ce2fe28308fd9f2a7baf3, c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da e4da3b7fbbce2345d7772b0674a318d5, 209, ?"
"43, 54, 76, 109, 153, ?",208,"a87ff679a2f3e71d9181a67b7542122c eccbc87e4b5ce2fe28308fd9f2a7baf3, e4da3b7fbbce2345d7772b0674a318d5 a87ff679a2f3e71d9181a67b7542122c, 8f14e45fceea167a5a36dedd4bea2543 1679091c5a880faf6fb5e6087eb1b2dc, c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da 45c48cce2e2d7fbdea1afc51c7c6ad26, 153, ?"
"2, 3, 14, 69, 340, ?",1825,"c81e728d9d4c2f636f067f89cc14862c, eccbc87e4b5ce2fe28308fd9f2a7baf3, c4ca4238a0b923820dcc509a6f75849b a87ff679a2f3e71d9181a67b7542122c, 69, eccbc87e4b5ce2fe28308fd9f2a7baf3 a87ff679a2f3e71d9181a67b7542122c cfcd208495d565ef66e7dff9f98764da, ?"
"9827, 9706, 9606, 9525, 9461, ?",9412,"45c48cce2e2d7fbdea1afc51c7c6ad26 c9f0f895fb98ab9159f51fd0297e236d c81e728d9d4c2f636f067f89cc14862c 8f14e45fceea167a5a36dedd4bea2543, 9706, 45c48cce2e2d7fbdea1afc51c7c6ad26 1679091c5a880faf6fb5e6087eb1b2dc cfcd208495d565ef66e7dff9f98764da 1679091c5a880faf6fb5e6087eb1b2dc, 45c48cce2e2d7fbdea1afc51c7c6ad26 e4da3b7fbbce2345d7772b0674a318d5 c81e728d9d4c2f636f067f89cc14862c e4da3b7fbbce2345d7772b0674a318d5, 45c48cce2e2d7fbdea1afc51c7c6ad26 a87ff679a2f3e71d9181a67b7542122c 1679091c5a880faf6fb5e6087eb1b2dc c4ca4238a0b923820dcc509a6f75849b, ?"
"1991, 1964, 1900, 1775, ?",1559,"c4ca4238a0b923820dcc509a6f75849b 45c48cce2e2d7fbdea1afc51c7c6ad26 45c48cce2e2d7fbdea1afc51c7c6ad26 c4ca4238a0b923820dcc509a6f75849b, c4ca4238a0b923820dcc509a6f75849b 45c48cce2e2d7fbdea1afc51c7c6ad26 1679091c5a880faf6fb5e6087eb1b2dc a87ff679a2f3e71d9181a67b7542122c, c4ca4238a0b923820dcc509a6f75849b 45c48cce2e2d7fbdea1afc51c7c6ad26 cfcd208495d565ef66e7dff9f98764da cfcd208495d565ef66e7dff9f98764da, c4ca4238a0b923820dcc509a6f75849b 8f14e45fceea167a5a36dedd4bea2543 8f14e45fceea167a5a36dedd4bea2543 e4da3b7fbbce2345d7772b0674a318d5, ?"
"7, 56, 92, 117, 133, ?",142,"8f14e45fceea167a5a36dedd4bea2543, 56, 45c48cce2e2d7fbdea1afc51c7c6ad26 c81e728d9d4c2f636f067f89cc14862c, c4ca4238a0b923820dcc509a6f75849b c4ca4238a0b923820dcc509a6f75849b 8f14e45fceea167a5a36dedd4bea2543, c4ca4238a0b923820dcc509a6f75849b eccbc87e4b5ce2fe28308fd9f2a7baf3 eccbc87e4b5ce2fe28308fd9f2a7baf3, ?"
"3, 17, 45, 87, 143, ?",213,"eccbc87e4b5ce2fe28308fd9f2a7baf3, c4ca4238a0b923820dcc509a6f75849b 8f14e45fceea167a5a36dedd4bea2543, 45, c9f0f895fb98ab9159f51fd0297e236d 8f14e45fceea167a5a36dedd4bea2543, c4ca4238a0b923820dcc509a6f75849b a87ff679a2f3e71d9181a67b7542122c eccbc87e4b5ce2fe28308fd9f2a7baf3, ?"
"4, 2, 2, 3, 6, ?",15,"a87ff679a2f3e71d9181a67b7542122c, c81e728d9d4c2f636f067f89cc14862c, 2, eccbc87e4b5ce2fe28308fd9f2a7baf3, 1679091c5a880faf6fb5e6087eb1b2dc, ?"
"729, 730, 734, 761, 1017, ?",4142,"8f14e45fceea167a5a36dedd4bea2543 c81e728d9d4c2f636f067f89cc14862c 45c48cce2e2d7fbdea1afc51c7c6ad26, 8f14e45fceea167a5a36dedd4bea2543 eccbc87e4b5ce2fe28308fd9f2a7baf3 cfcd208495d565ef66e7dff9f98764da, 8f14e45fceea167a5a36dedd4bea2543 eccbc87e4b5ce2fe28308fd9f2a7baf3 a87ff679a2f3e71d9181a67b7542122c, 8f14e45fceea167a5a36dedd4bea2543 1679091c5a880faf6fb5e6087eb1b2dc c4ca4238a0b923820dcc509a6f75849b, 1017, ?"
