number_series,answer,greek_obfuscation
"40, 82, 249, 1250, ?",8757,"Epsilon Alpha, Iota Gamma, Gamma Epsilon Kappa, Beta Gamma Zeta Alpha, ?"
"24, 70, 144, 252, 400, ?",594,"Gamma Epsilon, Theta Alpha, Beta Epsilon Epsilon, Gamma Zeta Gamma, Epsilon Alpha Alpha, ?"
"33, 47, 53, 61, 71, ?",83,"Delta Delta, Epsilon Theta, Zeta Delta, Eta Beta, Theta Beta, ?"
"660, 656, 620, 520, 324, ?",0,"Eta Eta Alpha, Eta Zeta Eta, Eta Gamma Alpha, Zeta Gamma Alpha, Delta Gamma Epsilon, ?"
"133, 207, 353, 501, 741, ?",987,"Beta Delta Delta, Gamma Alpha Theta, Delta Zeta Delta, Zeta Alpha Beta, Theta Epsilon Beta, ?"
"8.5, 24, ?, 79, 118.5, 166",47.5,"8.5, Gamma Epsilon, ?, Theta Kappa, 118.5, Beta Eta Eta"
"2048, 516, 1032, 262, ?, 135, 270",524,"2048, Zeta Beta Eta, Beta Alpha Delta Gamma, Gamma Eta Gamma, ?, Beta Delta Zeta, Gamma Theta Alpha"
"7, 9, 12, 48, ?, 890",172,"Theta, Kappa, Beta Gamma, Epsilon Iota, ?, Iota Kappa Alpha"
"47, 58, 71, 79, 95, ?",109,"Epsilon Theta, Zeta Iota, Theta Beta, Theta Kappa, Kappa Zeta, ?"
"8, 39, 79, 394, 789, ?",3944,"Iota, Delta Kappa, Theta Kappa, Delta Kappa Epsilon, Theta Iota Kappa, ?"
"15, 17, 26, 47, 86, ?",149,"Beta Zeta, Beta Theta, Gamma Eta, Epsilon Theta, Iota Eta, ?"
"3, 9, 24, 57, ?, 267, 552",126,"Delta, 9, Gamma Epsilon, Zeta Theta, ?, Gamma Eta Theta, Zeta Zeta Gamma"
"2, 8, 28, 102, 432, ?",2190,"Gamma, Iota, Gamma Iota, Beta Alpha Gamma, Epsilon Delta Gamma, ?"
"6, 16, 44, 126, 370, ?",1100,"Eta, Beta Eta, Epsilon Epsilon, Beta Gamma Eta, Delta Theta Alpha, ?"
"51, 77, 175, 250, 279, ?",413,"Zeta Beta, Theta Theta, Beta Theta Zeta, Gamma Zeta Alpha, Gamma Theta Kappa, ?"
"2, 2, 5, 15.5, ?, 267.125",58.25,"Gamma, Gamma, Zeta, 15.5, ?, 267.125"
"219, 223, 232, 248, ?",273,"Gamma Beta Kappa, Gamma Gamma Delta, Gamma Delta Gamma, Gamma Epsilon Iota, ?"
"10, 17.5, 32.5, 55, 85, ?",122.5,"Beta Alpha, 17.5, 32.5, Zeta Zeta, Iota Zeta, ?"
"1, 7, 16, 30, 51, ?",81,"Beta, Theta, Beta Eta, Delta Alpha, Zeta Beta, ?"
"0, 6, 24, 60, 120, ?",210,"Alpha, Eta, Gamma Epsilon, Eta Alpha, Beta Gamma Alpha, ?"
"6, 6, 18, 90, 630, ?",5670,"Eta, Eta, Beta Iota, Kappa Alpha, Eta Delta Alpha, ?"
"27, 35, 47, 63, 83, ?",105,"Gamma Theta, Delta Zeta, Epsilon Theta, Eta Delta, Iota Delta, ?"
"7, 12, 19, 31, 50, ?",79,"Theta, Beta Gamma, Beta Kappa, Delta Beta, Zeta Alpha, ?"
"2, 3, 8, 27, 112, ?",630,"Gamma, Delta, Iota, Gamma Theta, Beta Beta Gamma, ?"
"30, 128, 346, 732, ?, 2200",1334,"Delta Alpha, Beta Gamma Iota, Delta Epsilon Eta, Theta Delta Gamma, ?, Gamma Gamma Alpha Alpha"
"16800, 4200, 1050, 262.5, ?, 16.40625",65.625,"Beta Eta Iota Alpha Alpha, Epsilon Gamma Alpha Alpha, Beta Alpha Zeta Alpha, 262.5, ?, 16.40625"
"156, 145, 123, 90, 46, ?",-9,"Beta Zeta Eta, Beta Epsilon Zeta, Beta Gamma Delta, Kappa Alpha, Epsilon Eta, ?"
"11, 12, 39, 164, 507, ?",1236,"Beta Beta, Beta Gamma, Delta Kappa, Beta Eta Epsilon, Zeta Alpha Theta, ?"
"120, 145, ?, 197, 224, 257",168,"Beta Gamma Alpha, Beta Epsilon Zeta, ?, Beta Kappa Theta, Gamma Gamma Epsilon, Gamma Zeta Theta"
"5, 36, 191, 966, ?, 24216",4841,"Zeta, Delta Eta, Beta Kappa Beta, Kappa Eta Eta, ?, Gamma Epsilon Gamma Beta Eta"
"144, 153, 171, 207, 279, ?",423,"Beta Epsilon Epsilon, Beta Zeta Delta, Beta Theta Beta, Gamma Alpha Theta, Gamma Theta Kappa, ?"
"76, 304, ?, 43776, 1094400, 39398400",2736,"Theta Eta, Delta Alpha Epsilon, ?, Epsilon Delta Theta Theta Eta, Beta Alpha Kappa Epsilon Epsilon Alpha Alpha, Delta Kappa Delta Kappa Iota Epsilon Alpha Alpha"
"2, 18, 36, ?, 98, 146, 188",68,"Gamma, 18, Delta Eta, ?, Kappa Iota, Beta Epsilon Eta, Beta Iota Iota"
"94, 99, 108, 119, 130, ?, 144",139,"Kappa Epsilon, Kappa Kappa, Beta Alpha Iota, Beta Beta Kappa, 130, ?, Beta Epsilon Epsilon"
"15, 15, 25, 58.33, ?, 641.66, 2780.55",175,"Beta Zeta, Beta Zeta, Gamma Zeta, 58.33, ?, 641.66, 2780.55"
"35, 65, ?, 725, 3605, 21605, 151205",185,"Delta Zeta, Eta Zeta, ?, 725, Delta Eta Alpha Zeta, Gamma Beta Eta Alpha Zeta, Beta Zeta Beta Gamma Alpha Zeta"
"131, 231, 341, 461, ?, 731",591,"Beta Delta Beta, Gamma Delta Beta, Delta Epsilon Beta, Epsilon Eta Beta, ?, Theta Delta Beta"
"81, 108, 124, 249, ?, 628",285,"Iota Beta, Beta Alpha Iota, Beta Gamma Epsilon, Gamma Epsilon Kappa, ?, Eta Gamma Iota"
"824, 568, 793, 597, 766, ?",622,"Iota Gamma Epsilon, Zeta Eta Iota, Theta Kappa Delta, Zeta Kappa Theta, Theta Eta Eta, ?"
"10.5, 20, 39, 67.5, ?, 153",105.5,"10.5, Gamma Alpha, Delta Kappa, 67.5, ?, Beta Zeta Delta"
"9, 31, 73, 141, 241, ?",379,"Kappa, Delta Beta, Theta Delta, Beta Epsilon Beta, Gamma Epsilon Beta, ?"
"161, 159, 169, 227, 477, ?",1495,"Beta Eta Beta, Beta Zeta Kappa, Beta Eta Kappa, Gamma Gamma Theta, Epsilon Theta Theta, ?"
"33, 26.5, ?, 64.75, 139.5, 358.75",36.5,"Delta Delta, 26.5, ?, 64.75, 139.5, 358.75"
"31, 17, 26, 64.5, ?, 1006.6",224.25,"Delta Beta, Beta Theta, Gamma Eta, 64.5, ?, 1006.6"
"16, 19, 26, 39, 62, ?",99,"Beta Eta, Beta Kappa, Gamma Eta, Delta Kappa, Eta Gamma, ?"
"386, 379, 358, 323, ?, 211",274,"Delta Iota Eta, Delta Theta Kappa, Delta Zeta Iota, Delta Gamma Delta, ?, Gamma Beta Beta"
