number_series,answer,obfuscation,obfuscation_ground_truth
"0, 4, 12, 76, ?",2766,"Sun, Mars, Mercury Venus, Uranus Saturn, ",Venus Uranus Saturn Saturn
"14, 27, 53, 105, 209, ?",417,"Mercury Mars, Venus Uranus, Jupiter Earth, Mercury Sun Jupiter, Venus Sun Pluto, ",Mars Mercury Uranus
"43, 54, 76, 109, 153, ?",208,"Mars Earth, Jupiter Mars, Uranus Saturn, Mercury Sun Pluto, Mercury Jupiter Earth, ",Venus Sun Neptune
"2, 3, 14, 69, 340, ?",1825,"Venus, Earth, Mercury Mars, Saturn Pluto, Earth Mars Sun, ",Mercury Neptune Venus Jupiter
"9827, 9706, 9606, 9525, 9461, ?",9412,"Pluto Neptune Venus Uranus, Pluto Uranus Sun Saturn, Pluto Saturn Sun Saturn, Pluto Jupiter Venus Jupiter, Pluto Mars Saturn Mercury, ",Pluto Mars Mercury Venus
"1991, 1964, 1900, 1775, ?",1559,"Mercury Pluto Pluto Mercury, Mercury Pluto Saturn Mars, Mercury Pluto Sun Sun, Mercury Uranus Uranus Jupiter, ",Mercury Jupiter Jupiter Pluto
"7, 56, 92, 117, 133, ?",142,"Uranus, Jupiter Saturn, Pluto Venus, Mercury Mercury Uranus, Mercury Earth Earth, ",Mercury Mars Venus
"3, 17, 45, 87, 143, ?",213,"Earth, Mercury Uranus, Mars Jupiter, Neptune Uranus, Mercury Mars Earth, ",Venus Mercury Earth
"4, 2, 2, 3, 6, ?",15,"Mars, Venus, Venus, Earth, Saturn, ",Mercury Jupiter
"729, 730, 734, 761, 1017, ?",4142,"Uranus Venus Pluto, Uranus Earth Sun, Uranus Earth Mars, Uranus Saturn Mercury, Mercury Sun Mercury Uranus, ",Mars Mercury Mars Venus
"512, 256, 256, 384, 768, ?",1920,"Jupiter Mercury Venus, Venus Jupiter Saturn, Venus Jupiter Saturn, Earth Neptune Mars, Uranus Saturn Neptune, ",Mercury Pluto Venus Sun
"0, 2, 28, 93, 217, ?",434,"Sun, Venus, Venus Neptune, Pluto Earth, Venus Mercury Uranus, ",Mars Earth Mars
"125, 126, 130, 139, 155, 180, ?",216,"Mercury Venus Jupiter, Mercury Venus Saturn, Mercury Earth Sun, Mercury Earth Pluto, Mercury Jupiter Jupiter, Mercury Neptune Sun, ",Venus Mercury Saturn
"1331, 1431, 1631, 1931, 2331, ?",2831,"Mercury Earth Earth Mercury, Mercury Mars Earth Mercury, Mercury Saturn Earth Mercury, Mercury Pluto Earth Mercury, Venus Earth Earth Mercury, ",Venus Neptune Earth Mercury
"7, 27, 93, 301, 915, 2775, 8361",301,"Uranus, Venus Uranus, Pluto Earth, Earth Sun Mercury, Pluto Mercury Jupiter, Venus Uranus Uranus Jupiter, Neptune Earth Saturn Mercury",Earth Sun Mercury
"201, 196, 181, 146, 121, 76, 21",146,"Venus Sun Mercury, Mercury Pluto Saturn, Mercury Neptune Mercury, Mercury Mars Saturn, Mercury Venus Mercury, Uranus Saturn, Venus Mercury",Mercury Mars Saturn
"8, 37, 229, 1841, 18421, 231065",231065,"Neptune, Earth Uranus, Venus Venus Pluto, Mercury Neptune Mars Mercury, Mercury Neptune Mars Venus Mercury, Venus Earth Mercury Sun Saturn Jupiter",Venus Earth Mercury Sun Saturn Jupiter
"0, 10, 34, 82, 148, 250",82,"Sun, Mercury Sun, Earth Mars, Neptune Venus, Mercury Mars Neptune, Venus Jupiter Sun",Neptune Venus
"1, 0, 6, -3, 40, 100",100,"Mercury, Sun, Saturn, Earth, Mars Sun, Mercury Sun Sun",Mercury Sun Sun
"144, 361, 703, 1215, 1944, 2944",361,"Mercury Mars Mars, Earth Saturn Mercury, Uranus Sun Earth, Mercury Venus Mercury Jupiter, Mercury Pluto Mars Mars, Venus Pluto Mars Mars",Earth Saturn Mercury
"24, 32, 42, 56, 78, 104",78,"Venus Mars, Earth Venus, Mars Venus, Jupiter Saturn, Uranus Neptune, Mercury Sun Mars",Uranus Neptune
"40, 37, 45, 30, 54, 20",20,"Mars Sun, Earth Uranus, Mars Jupiter, Earth Sun, Jupiter Mars, Venus Sun",Venus Sun
"86, 87, 92, 98, 106",87,"Neptune Saturn, Neptune Uranus, Pluto Venus, Pluto Neptune, Mercury Sun Saturn",Neptune Uranus
"625, 663, 755, 745, 863, 835",863,"Saturn Venus Jupiter, Saturn Saturn Earth, Uranus Jupiter Jupiter, Uranus Mars Jupiter, Neptune Saturn Earth, Neptune Earth Jupiter",Neptune Saturn Earth
"2, 4, 10, 34, 152, 874",152,"Venus, Mars, Mercury Sun, Earth Mars, Mercury Jupiter Venus, Neptune Uranus Mars",Mercury Jupiter Venus
"40, 45, 135, 442.5, 1285, 3837.5",135,"Mars Sun, Mars Jupiter, Mercury Earth Jupiter, Mars Mars Venus Jupiter, Mercury Venus Neptune Jupiter, Earth Neptune Earth Uranus Jupiter",Mercury Earth Jupiter
"2, 11, 32, 71, 134, 229",229,"Venus, Mercury Mercury, Earth Venus, Uranus Mercury, Mercury Earth Mars, Venus Venus Pluto",Venus Venus Pluto
"732, 744, 758, 780, 795, 816",758,"Uranus Earth Venus, Uranus Mars Mars, Uranus Jupiter Neptune, Uranus Neptune Sun, Uranus Pluto Jupiter, Neptune Mercury Saturn",Uranus Jupiter Neptune
"7, 14, 32, 60, 132, 186",132,"Uranus, Mercury Mars, Earth Venus, Saturn Sun, Mercury Earth Venus, Mercury Neptune Saturn",Mercury Earth Venus
"19, 32, 48, 71, 99, 134",48,"Mercury Pluto, Earth Venus, Mars Neptune, Uranus Mercury, Pluto Pluto, Mercury Earth Mars",Mars Neptune
"-4, 16, -12, 32, -20, 96",32,"Mars, Mercury Saturn, Mercury Venus, Earth Venus, Venus Sun, Pluto Saturn",Earth Venus
"3, 14, 39, 80, 155, 258",258,"Earth, Mercury Mars, Earth Pluto, Neptune Sun, Mercury Jupiter Jupiter, Venus Jupiter Neptune",Venus Jupiter Neptune
"6, 12, 24, 42, 66, 95",95,"Saturn, Mercury Venus, Venus Mars, Mars Venus, Saturn Saturn, Pluto Jupiter",Pluto Jupiter
"121, 145, 171, 199, 229, 264",264,"Mercury Venus Mercury, Mercury Mars Jupiter, Mercury Uranus Mercury, Mercury Pluto Pluto, Venus Venus Pluto, Venus Saturn Mars",Venus Saturn Mars
"60, 90, 180, 450, 1360, 4725",1360,"Saturn Sun, Pluto Sun, Mercury Neptune Sun, Mars Jupiter Sun, Mercury Earth Saturn Sun, Mars Uranus Venus Jupiter",Mercury Earth Saturn Sun
"1, 6, 19, 40, 69, 107",107,"Mercury, Saturn, Mercury Pluto, Mars Sun, Saturn Pluto, Mercury Sun Uranus",Mercury Sun Uranus
"5, 10, 30, 150, 600, 3600",150,"Jupiter, Mercury Sun, Earth Sun, Mercury Jupiter Sun, Saturn Sun Sun, Earth Saturn Sun Sun",Mercury Jupiter Sun
"25, 55, 115, 235, 480, 955",480,"Venus Jupiter, Jupiter Jupiter, Mercury Mercury Jupiter, Venus Earth Jupiter, Mars Neptune Sun, Pluto Jupiter Jupiter",Mars Neptune Sun
"1, 122, 291, 516, 806, 1166",806,"Mercury, Mercury Venus Venus, Venus Pluto Mercury, Jupiter Mercury Saturn, Neptune Sun Saturn, Mercury Mercury Saturn Saturn",Neptune Sun Saturn
"225, 236, 260, 301, 355, 430",301,"Venus Venus Jupiter, Venus Earth Saturn, Venus Saturn Sun, Earth Sun Mercury, Earth Jupiter Jupiter, Mars Earth Sun",Earth Sun Mercury
"26, 58, 127, 264, 625, 1016",625,"Venus Saturn, Jupiter Neptune, Mercury Venus Uranus, Venus Saturn Mars, Saturn Venus Jupiter, Mercury Sun Mercury Saturn",Saturn Venus Jupiter
"110, 166, 136, 240, 170, 333",333,"Mercury Mercury Sun, Mercury Saturn Saturn, Mercury Earth Saturn, Venus Mars Sun, Mercury Uranus Sun, Earth Earth Earth",Earth Earth Earth
"25, 37.5, 62.5, 100, 162.5, 212.5",162.5,"Venus Jupiter, Earth Uranus Jupiter, Saturn Venus Jupiter, Mercury Sun Sun, Mercury Saturn Venus Jupiter, Venus Mercury Venus Jupiter",Mercury Saturn Venus Jupiter
"7, 6, 3, -6, ?, -114",-33,"Uranus, Saturn, Earth, Saturn, , Mercury Mercury Mars",Earth Earth
"6, 42, 164, 450, 1002, ?",1936,"Saturn, Mars Venus, Mercury Saturn Mars, Mars Jupiter Sun, Mercury Sun Sun Venus, ",Mercury Pluto Earth Saturn
"8, 14, 23, 36.5, ?, 87.125",49.75,"Neptune, Mercury Mars, Venus Earth, Earth Saturn Jupiter, , Neptune Uranus Mercury Venus Jupiter",Mars Pluto Uranus Jupiter
"3, 7, 15, 31, ?, 127",53,"Earth, Uranus, Mercury Jupiter, Earth Mercury, , Mercury Venus Uranus",Jupiter Earth
"2, 36, 150, 392, 810, ?, 2366",1728,"Venus, Earth Saturn, Mercury Jupiter Sun, Earth Pluto Venus, Neptune Mercury Sun, , Venus Earth Saturn Saturn",Mercury Uranus Venus Neptune
"88, 115, 144, 175, 208, ?",234,"Neptune Neptune, Mercury Mercury Jupiter, Mercury Mars Mars, Mercury Uranus Jupiter, Venus Sun Neptune, ",Venus Earth Mars
"448, 294, 180, 100, 48, 18, ?",8,"Mars Mars Neptune, Venus Pluto Mars, Mercury Neptune Sun, Mercury Sun Sun, Mars Neptune, Mercury Neptune, ",Neptune
"2, 14, 42, 92, 170, ?",285,"Venus, Mercury Mars, Mars Venus, Pluto Venus, Mercury Uranus Sun, ",Venus Neptune Jupiter
"5, 20, 320, 1280, 20480, ?",81920,"Jupiter, Venus Sun, Earth Venus Sun, Mercury Venus Neptune Sun, Venus Sun Mars Neptune Sun, ",Neptune Mercury Pluto Venus Sun
"10, 16, 34, 70, 130, ?",220,"Mercury Sun, Mercury Saturn, Earth Mars, Uranus Sun, Mercury Earth Sun, ",Venus Venus Sun
"135135, 12285, 1365, 195, ?, 13",39,"Mercury Earth Jupiter Mercury Earth Jupiter, Mercury Venus Venus Neptune Jupiter, Mercury Earth Saturn Jupiter, Mercury Pluto Jupiter, , Mercury Earth",Earth Pluto
"9, 13, 20, 36, 79, ?",203,"Pluto, Mercury Earth, Venus Sun, Earth Saturn, Uranus Pluto, ",Venus Sun Earth
"7, 14, 28, 49, 77, ?",112,"Uranus, Mercury Mars, Venus Neptune, Mars Pluto, Uranus Uranus, ",Mercury Mercury Venus
"9, 6, 19, 14, 39, ?",30,"Pluto, Saturn, Mercury Pluto, Mercury Mars, Earth Pluto, ",Earth Sun
"12, 38, 90, 194, 402, ?",818,"Mercury Venus, Earth Neptune, Pluto Sun, Mercury Pluto Mars, Mars Sun Venus, ",Neptune Mercury Neptune
"18, 16, 29, 83, 327, ?",1629,"Mercury Neptune, Mercury Saturn, Venus Pluto, Neptune Earth, Earth Venus Uranus, ",Mercury Saturn Venus Pluto
"8, 16, 36, 74, 136, 228, ?",356,"Neptune, Mercury Saturn, Earth Saturn, Uranus Mars, Mercury Earth Saturn, Venus Venus Neptune, ",Earth Jupiter Saturn
"4, 18, 85, 336, 1005, ?",2008,"Mars, Mercury Neptune, Neptune Jupiter, Earth Earth Saturn, Mercury Sun Sun Jupiter, ",Venus Sun Sun Neptune
"9, 265, 393, 457, 489, ?",505,"Pluto, Venus Saturn Jupiter, Earth Pluto Earth, Mars Jupiter Uranus, Mars Neptune Pluto, ",Jupiter Sun Jupiter
"7, 17, 35, 63, 103, ?",157,"Uranus, Mercury Uranus, Earth Jupiter, Saturn Earth, Mercury Sun Earth, ",Mercury Jupiter Uranus
"40, 82, 249, 1250, ?",8757,"Mars Sun, Neptune Venus, Venus Mars Pluto, Mercury Venus Jupiter Sun, ",Neptune Uranus Jupiter Uranus
"24, 70, 144, 252, 400, ?",594,"Venus Mars, Uranus Sun, Mercury Mars Mars, Venus Jupiter Venus, Mars Sun Sun, ",Jupiter Pluto Mars
"33, 47, 53, 61, 71, ?",83,"Earth Earth, Mars Uranus, Jupiter Earth, Saturn Mercury, Uranus Mercury, ",Neptune Earth
"660, 656, 620, 520, 324, ?",0,"Saturn Saturn Sun, Saturn Jupiter Saturn, Saturn Venus Sun, Jupiter Venus Sun, Earth Venus Mars, ",Sun
"133, 207, 353, 501, 741, ?",987,"Mercury Earth Earth, Venus Sun Uranus, Earth Jupiter Earth, Jupiter Sun Mercury, Uranus Mars Mercury, ",Pluto Neptune Uranus
"8.5, 24, ?, 79, 118.5, 166",47.5,"Neptune Jupiter, Venus Mars, , Uranus Pluto, Mercury Mercury Neptune Jupiter, Mercury Saturn Saturn",Mars Uranus Jupiter
"2048, 516, 1032, 262, ?, 135, 270",524,"Venus Sun Mars Neptune, Jupiter Mercury Saturn, Mercury Sun Earth Venus, Venus Saturn Venus, , Mercury Earth Jupiter, Venus Uranus Sun",Jupiter Venus Mars
"7, 9, 12, 48, ?, 890",172,"Uranus, Pluto, Mercury Venus, Mars Neptune, , Neptune Pluto Sun",Mercury Uranus Venus
"47, 58, 71, 79, 95, ?",109,"Mars Uranus, Jupiter Neptune, Uranus Mercury, Uranus Pluto, Pluto Jupiter, ",Mercury Sun Pluto
"8, 39, 79, 394, 789, ?",3944,"Neptune, Earth Pluto, Uranus Pluto, Earth Pluto Mars, Uranus Neptune Pluto, ",Earth Pluto Mars Mars
"15, 17, 26, 47, 86, ?",149,"Mercury Jupiter, Mercury Uranus, Venus Saturn, Mars Uranus, Neptune Saturn, ",Mercury Mars Pluto
"3, 9, 24, 57, ?, 267, 552",126,"Earth, Pluto, Venus Mars, Jupiter Uranus, , Venus Saturn Uranus, Jupiter Jupiter Venus",Mercury Venus Saturn
"2, 8, 28, 102, 432, ?",2190,"Venus, Neptune, Venus Neptune, Mercury Sun Venus, Mars Earth Venus, ",Venus Mercury Pluto Sun
"6, 16, 44, 126, 370, ?",1100,"Saturn, Mercury Saturn, Mars Mars, Mercury Venus Saturn, Earth Uranus Sun, ",Mercury Mercury Sun Sun
"51, 77, 175, 250, 279, ?",413,"Jupiter Mercury, Uranus Uranus, Mercury Uranus Jupiter, Venus Jupiter Sun, Venus Uranus Pluto, ",Mars Mercury Earth
"2, 2, 5, 15.5, ?, 267.125",58.25,"Venus, Venus, Jupiter, Mercury Jupiter Jupiter, , Venus Saturn Uranus Mercury Venus Jupiter",Jupiter Neptune Venus Jupiter
"219, 223, 232, 248, ?",273,"Venus Mercury Pluto, Venus Venus Earth, Venus Earth Venus, Venus Mars Neptune, ",Venus Uranus Earth
"10, 17.5, 32.5, 55, 85, ?",122.5,"Mercury Sun, Mercury Uranus Jupiter, Earth Venus Jupiter, Jupiter Jupiter, Neptune Jupiter, ",Mercury Venus Venus Jupiter
"1, 7, 16, 30, 51, ?",81,"Mercury, Uranus, Mercury Saturn, Earth Sun, Jupiter Mercury, ",Neptune Mercury
"0, 6, 24, 60, 120, ?",210,"Sun, Saturn, Venus Mars, Saturn Sun, Mercury Venus Sun, ",Venus Mercury Sun
"6, 6, 18, 90, 630, ?",5670,"Saturn, Saturn, Mercury Neptune, Pluto Sun, Saturn Earth Sun, ",Jupiter Saturn Uranus Sun
"27, 35, 47, 63, 83, ?",105,"Venus Uranus, Earth Jupiter, Mars Uranus, Saturn Earth, Neptune Earth, ",Mercury Sun Jupiter
"7, 12, 19, 31, 50, ?",79,"Uranus, Mercury Venus, Mercury Pluto, Earth Mercury, Jupiter Sun, ",Uranus Pluto
"2, 3, 8, 27, 112, ?",630,"Venus, Earth, Neptune, Venus Uranus, Mercury Mercury Venus, ",Saturn Earth Sun
"30, 128, 346, 732, ?, 2200",1334,"Earth Sun, Mercury Venus Neptune, Earth Mars Saturn, Uranus Earth Venus, , Venus Venus Sun Sun",Mercury Earth Earth Mars
"16800, 4200, 1050, 262.5, ?, 16.40625",65.625,"Mercury Saturn Neptune Sun Sun, Mars Venus Sun Sun, Mercury Sun Jupiter Sun, Venus Saturn Venus Jupiter, , Mercury Saturn Mars Sun Saturn Venus Jupiter",Saturn Jupiter Saturn Venus Jupiter
"156, 145, 123, 90, 46, ?",-9,"Mercury Jupiter Saturn, Mercury Mars Jupiter, Mercury Venus Earth, Pluto Sun, Mars Saturn, ",Pluto
"11, 12, 39, 164, 507, ?",1236,"Mercury Mercury, Mercury Venus, Earth Pluto, Mercury Saturn Mars, Jupiter Sun Uranus, ",Mercury Venus Earth Saturn
"120, 145, ?, 197, 224, 257",168,"Mercury Venus Sun, Mercury Mars Jupiter, , Mercury Pluto Uranus, Venus Venus Mars, Venus Jupiter Uranus",Mercury Saturn Neptune
"5, 36, 191, 966, ?, 24216",4841,"Jupiter, Earth Saturn, Mercury Pluto Mercury, Pluto Saturn Saturn, , Venus Mars Venus Mercury Saturn",Mars Neptune Mars Mercury
"144, 153, 171, 207, 279, ?",423,"Mercury Mars Mars, Mercury Jupiter Earth, Mercury Uranus Mercury, Venus Sun Uranus, Venus Uranus Pluto, ",Mars Venus Earth
"76, 304, ?, 43776, 1094400, 39398400",2736,"Uranus Saturn, Earth Sun Mars, , Mars Earth Uranus Uranus Saturn, Mercury Sun Pluto Mars Mars Sun Sun, Earth Pluto Earth Pluto Neptune Mars Sun Sun",Venus Uranus Earth Saturn
"2, 18, 36, ?, 98, 146, 188",68,"Venus, Mercury Neptune, Earth Saturn, , Pluto Neptune, Mercury Mars Saturn, Mercury Neptune Neptune",Saturn Neptune
"94, 99, 108, 119, 130, ?, 144",139,"Pluto Mars, Pluto Pluto, Mercury Sun Neptune, Mercury Mercury Pluto, Mercury Earth Sun, , Mercury Mars Mars",Mercury Earth Pluto
"15, 15, 25, 58.33, ?, 641.66, 2780.55",175,"Mercury Jupiter, Mercury Jupiter, Venus Jupiter, Jupiter Neptune Earth Earth, , Saturn Mars Mercury Saturn Saturn, Venus Uranus Neptune Sun Jupiter Jupiter",Mercury Uranus Jupiter
"35, 65, ?, 725, 3605, 21605, 151205",185,"Earth Jupiter, Saturn Jupiter, , Uranus Venus Jupiter, Earth Saturn Sun Jupiter, Venus Mercury Saturn Sun Jupiter, Mercury Jupiter Mercury Venus Sun Jupiter",Mercury Neptune Jupiter
"131, 231, 341, 461, ?, 731",591,"Mercury Earth Mercury, Venus Earth Mercury, Earth Mars Mercury, Mars Saturn Mercury, , Uranus Earth Mercury",Jupiter Pluto Mercury
"81, 108, 124, 249, ?, 628",285,"Neptune Mercury, Mercury Sun Neptune, Mercury Venus Mars, Venus Mars Pluto, , Saturn Venus Neptune",Venus Neptune Jupiter
"824, 568, 793, 597, 766, ?",622,"Neptune Venus Mars, Jupiter Saturn Neptune, Uranus Pluto Earth, Jupiter Pluto Uranus, Uranus Saturn Saturn, ",Saturn Venus Venus
"10.5, 20, 39, 67.5, ?, 153",105.5,"Mercury Sun Jupiter, Venus Sun, Earth Pluto, Saturn Uranus Jupiter, , Mercury Jupiter Earth",Mercury Sun Jupiter Jupiter
"9, 31, 73, 141, 241, ?",379,"Pluto, Earth Mercury, Uranus Earth, Mercury Mars Mercury, Venus Mars Mercury, ",Earth Uranus Pluto
"161, 159, 169, 227, 477, ?",1495,"Mercury Saturn Mercury, Mercury Jupiter Pluto, Mercury Saturn Pluto, Venus Venus Uranus, Mars Uranus Uranus, ",Mercury Mars Pluto Jupiter
"33, 26.5, ?, 64.75, 139.5, 358.75",36.5,"Earth Earth, Venus Saturn Jupiter, , Saturn Mars Uranus Jupiter, Mercury Earth Pluto Jupiter, Earth Jupiter Neptune Uranus Jupiter",Earth Saturn Jupiter
"31, 17, 26, 64.5, ?, 1006.6",224.25,"Earth Mercury, Mercury Uranus, Venus Saturn, Saturn Mars Jupiter, , Mercury Sun Sun Saturn Saturn",Venus Venus Mars Venus Jupiter
"16, 19, 26, 39, 62, ?",99,"Mercury Saturn, Mercury Pluto, Venus Saturn, Earth Pluto, Saturn Venus, ",Pluto Pluto
"386, 379, 358, 323, ?, 211",274,"Earth Neptune Saturn, Earth Uranus Pluto, Earth Jupiter Neptune, Earth Venus Earth, , Venus Mercury Mercury",Venus Uranus Mars
